=== Job started on Wed 29 Apr 23:29:16 WEST 2026 ===
Running on node(s): cnx027
Python executable: /projects/F202508983CPCAA0/jcorreia/work/react_selection_x86/bin/python
Python 3.12.3
sys.path ok, site: 
Embedder: smarts_transformer
FP output : data/processed/template_fingerprints_smarts_256.npy
Meta output: data/processed/template_metadata.parquet
23:29:50  INFO     === Template fingerprint pre-computation ===
23:29:50  INFO     Templates : /projects/F202508983CPCAA0/jcorreia/work/reaction_selection_pipeline/data/processed/retrorules-merged.csv
23:29:50  INFO     embedder=smarts_transformer
23:29:53  INFO     Loaded 361751 templates from /projects/F202508983CPCAA0/jcorreia/work/reaction_selection_pipeline/data/processed/retrorules-merged.csv
23:29:53  INFO     Loading SMARTS transformer from /projects/F202508983CPCAA0/jcorreia/work/reaction_selection_pipeline/models/smarts_embedder
23:30:49  INFO     SMARTS transformer loaded  dim=256
01:56:13  INFO     Embedded 105000 / 361751  (29.0%)  ETA 21333s
01:58:45  INFO     Embedded 106000 / 361751  (29.3%)  ETA 21415s
01:59:48  INFO     Embedded 107000 / 361751  (29.6%)  ETA 21282s
02:01:12  INFO     Embedded 108000 / 361751  (29.9%)  ETA 21201s
02:02:35  INFO     Embedded 109000 / 361751  (30.1%)  ETA 21116s
02:04:27  INFO     Embedded 110000 / 361751  (30.4%)  ETA 21098s
02:05:43  INFO     Embedded 111000 / 361751  (30.7%)  ETA 20995s
02:07:20  INFO     Embedded 112000 / 361751  (31.0%)  ETA 20942s
02:08:42  INFO     Embedded 113000 / 361751  (31.2%)  ETA 20853s
02:10:05  INFO     Embedded 114000 / 361751  (31.5%)  ETA 20767s
02:12:41  INFO     Embedded 115000 / 361751  (31.8%)  ETA 20838s
02:13:39  INFO     Embedded 116000 / 361751  (32.1%)  ETA 20699s
02:16:09  INFO     Embedded 117000 / 361751  (32.3%)  ETA 20752s
02:17:32  INFO     Embedded 118000 / 361751  (32.6%)  ETA 20664s
02:19:15  INFO     Embedded 119000 / 361751  (32.9%)  ETA 20616s
02:21:05  INFO     Embedded 120000 / 361751  (33.2%)  ETA 20581s
02:22:09  INFO     Embedded 121000 / 361751  (33.4%)  ETA 20455s
02:23:15  INFO     Embedded 122000 / 361751  (33.7%)  ETA 20332s
02:25:21  INFO     Embedded 123000 / 361751  (34.0%)  ETA 20327s
02:26:46  INFO     Embedded 124000 / 361751  (34.3%)  ETA 20243s
02:28:22  INFO     Embedded 125000 / 361751  (34.6%)  ETA 20177s
02:29:58  INFO     Embedded 126000 / 361751  (34.8%)  ETA 20112s
02:31:20  INFO     Embedded 127000 / 361751  (35.1%)  ETA 20020s
02:32:30  INFO     Embedded 128000 / 361751  (35.4%)  ETA 19907s
02:34:23  INFO     Embedded 129000 / 361751  (35.7%)  ETA 19873s
02:35:21  INFO     Embedded 130000 / 361751  (35.9%)  ETA 19738s
02:37:17  INFO     Embedded 131000 / 361751  (36.2%)  ETA 19707s
02:38:50  INFO     Embedded 132000 / 361751  (36.5%)  ETA 19635s
02:39:34  INFO     Embedded 133000 / 361751  (36.8%)  ETA 19478s
02:41:08  INFO     Embedded 134000 / 361751  (37.0%)  ETA 19408s
02:41:55  INFO     Embedded 135000 / 361751  (37.3%)  ETA 19260s
02:43:29  INFO     Embedded 136000 / 361751  (37.6%)  ETA 19189s
02:46:12  INFO     Embedded 137000 / 361751  (37.9%)  ETA 19231s
02:48:22  INFO     Embedded 138000 / 361751  (38.1%)  ETA 19219s
02:49:57  INFO     Embedded 139000 / 361751  (38.4%)  ETA 19147s
02:50:50  INFO     Embedded 140000 / 361751  (38.7%)  ETA 19009s
02:52:20  INFO     Embedded 141000 / 361751  (39.0%)  ETA 18929s
02:53:33  INFO     Embedded 142000 / 361751  (39.3%)  ETA 18824s
02:54:17  INFO     Embedded 143000 / 361751  (39.5%)  ETA 18675s
02:55:18  INFO     Embedded 144000 / 361751  (39.8%)  ETA 18553s
02:56:48  INFO     Embedded 145000 / 361751  (40.1%)  ETA 18475s
02:57:15  INFO     Embedded 146000 / 361751  (40.4%)  ETA 18304s
02:58:22  INFO     Embedded 147000 / 361751  (40.6%)  ETA 18193s
02:59:45  INFO     Embedded 148000 / 361751  (40.9%)  ETA 18106s
03:01:20  INFO     Embedded 149000 / 361751  (41.2%)  ETA 18036s
03:02:47  INFO     Embedded 150000 / 361751  (41.5%)  ETA 17954s
03:04:34  INFO     Embedded 151000 / 361751  (41.7%)  ETA 17900s
03:05:54  INFO     Embedded 152000 / 361751  (42.0%)  ETA 17809s
03:07:18  INFO     Embedded 153000 / 361751  (42.3%)  ETA 17722s
03:10:24  INFO     Embedded 154000 / 361751  (42.6%)  ETA 17773s
03:12:29  INFO     Embedded 155000 / 361751  (42.8%)  ETA 17741s
03:13:55  INFO     Embedded 156000 / 361751  (43.1%)  ETA 17655s
03:16:00  INFO     Embedded 157000 / 361751  (43.4%)  ETA 17620s
03:18:50  INFO     Embedded 158000 / 361751  (43.7%)  ETA 17643s
03:19:53  INFO     Embedded 159000 / 361751  (44.0%)  ETA 17526s
03:22:49  INFO     Embedded 160000 / 361751  (44.2%)  ETA 17553s
03:24:47  INFO     Embedded 161000 / 361751  (44.5%)  ETA 17504s
03:26:03  INFO     Embedded 162000 / 361751  (44.8%)  ETA 17404s
03:27:18  INFO     Embedded 163000 / 361751  (45.1%)  ETA 17302s
03:28:57  INFO     Embedded 164000 / 361751  (45.3%)  ETA 17228s
03:30:20  INFO     Embedded 165000 / 361751  (45.6%)  ETA 17137s
03:32:55  INFO     Embedded 166000 / 361751  (45.9%)  ETA 17129s
03:34:49  INFO     Embedded 167000 / 361751  (46.2%)  ETA 17073s
03:37:44  INFO     Embedded 168000 / 361751  (46.4%)  ETA 17085s
03:40:02  INFO     Embedded 169000 / 361751  (46.7%)  ETA 17054s
03:41:16  INFO     Embedded 170000 / 361751  (47.0%)  ETA 16950s
03:42:05  INFO     Embedded 171000 / 361751  (47.3%)  ETA 16818s
03:43:39  INFO     Embedded 172000 / 361751  (47.5%)  ETA 16736s
03:45:24  INFO     Embedded 173000 / 361751  (47.8%)  ETA 16666s
03:46:25  INFO     Embedded 174000 / 361751  (48.1%)  ETA 16549s
03:46:46  INFO     Embedded 175000 / 361751  (48.4%)  ETA 16388s
03:47:33  INFO     Embedded 176000 / 361751  (48.7%)  ETA 16258s
03:49:11  INFO     Embedded 177000 / 361751  (48.9%)  ETA 16181s
03:50:49  INFO     Embedded 178000 / 361751  (49.2%)  ETA 16105s
03:52:04  INFO     Embedded 179000 / 361751  (49.5%)  ETA 16003s
03:53:44  INFO     Embedded 180000 / 361751  (49.8%)  ETA 15928s
03:54:47  INFO     Embedded 181000 / 361751  (50.0%)  ETA 15816s
03:57:55  INFO     Embedded 182000 / 361751  (50.3%)  ETA 15828s
03:59:24  INFO     Embedded 183000 / 361751  (50.6%)  ETA 15741s
04:00:48  INFO     Embedded 184000 / 361751  (50.9%)  ETA 15649s
04:03:26  INFO     Embedded 185000 / 361751  (51.1%)  ETA 15628s
04:04:49  INFO     Embedded 186000 / 361751  (51.4%)  ETA 15534s
